,gen_loss,real_acc,fake_acc,fake_loss,real_loss
0,"tf.Tensor(3.5722704, shape=(), dtype=float32)","tf.Tensor(99.8515, shape=(), dtype=float32)","tf.Tensor(97.745, shape=(), dtype=float32)","tf.Tensor(0.08422628, shape=(), dtype=float32)","tf.Tensor(0.026382847, shape=(), dtype=float32)"
1,"tf.Tensor(2.7315047, shape=(), dtype=float32)","tf.Tensor(98.307, shape=(), dtype=float32)","tf.Tensor(99.265, shape=(), dtype=float32)","tf.Tensor(0.11365904, shape=(), dtype=float32)","tf.Tensor(0.115238935, shape=(), dtype=float32)"
2,"tf.Tensor(2.4819853, shape=(), dtype=float32)","tf.Tensor(97.1145, shape=(), dtype=float32)","tf.Tensor(99.145, shape=(), dtype=float32)","tf.Tensor(0.13238335, shape=(), dtype=float32)","tf.Tensor(0.14361463, shape=(), dtype=float32)"
3,"tf.Tensor(2.3989074, shape=(), dtype=float32)","tf.Tensor(95.373, shape=(), dtype=float32)","tf.Tensor(98.165, shape=(), dtype=float32)","tf.Tensor(0.15512736, shape=(), dtype=float32)","tf.Tensor(0.1688136, shape=(), dtype=float32)"
4,"tf.Tensor(2.2224877, shape=(), dtype=float32)","tf.Tensor(93.201, shape=(), dtype=float32)","tf.Tensor(96.604, shape=(), dtype=float32)","tf.Tensor(0.19193056, shape=(), dtype=float32)","tf.Tensor(0.21167608, shape=(), dtype=float32)"
5,"tf.Tensor(2.0234058, shape=(), dtype=float32)","tf.Tensor(92.6045, shape=(), dtype=float32)","tf.Tensor(96.318, shape=(), dtype=float32)","tf.Tensor(0.2172111, shape=(), dtype=float32)","tf.Tensor(0.23686998, shape=(), dtype=float32)"
6,"tf.Tensor(2.0583003, shape=(), dtype=float32)","tf.Tensor(91.978, shape=(), dtype=float32)","tf.Tensor(95.681, shape=(), dtype=float32)","tf.Tensor(0.22095875, shape=(), dtype=float32)","tf.Tensor(0.24008931, shape=(), dtype=float32)"
7,"tf.Tensor(1.9772224, shape=(), dtype=float32)","tf.Tensor(92.2625, shape=(), dtype=float32)","tf.Tensor(96.3555, shape=(), dtype=float32)","tf.Tensor(0.22263755, shape=(), dtype=float32)","tf.Tensor(0.24477327, shape=(), dtype=float32)"
8,"tf.Tensor(1.8967271, shape=(), dtype=float32)","tf.Tensor(91.5985, shape=(), dtype=float32)","tf.Tensor(95.9765, shape=(), dtype=float32)","tf.Tensor(0.23782158, shape=(), dtype=float32)","tf.Tensor(0.25699377, shape=(), dtype=float32)"
9,"tf.Tensor(1.9392678, shape=(), dtype=float32)","tf.Tensor(91.0055, shape=(), dtype=float32)","tf.Tensor(95.331, shape=(), dtype=float32)","tf.Tensor(0.23805231, shape=(), dtype=float32)","tf.Tensor(0.26309568, shape=(), dtype=float32)"
